"row_num","treat","rep","inv_sp","res_sp","res_div","inv_t0","res_t0","inv_count","res_count","inv_m","res_m","rel_fit","res_sp2"
1,"1","a","o","a",1,26666.66667,2666666.667,150666666.666667,2.04e+08,8.63941082401549,4.33729074070749,1.99189109988191,"Aa"
2,"1","b","o","a",1,26666.66667,2666666.667,1.44e+08,1.8e+08,8.59415423242737,4.21212759775348,2.04033568142879,"Aa"
3,"1","c","o","a",1,26666.66667,2666666.667,154666666.666667,2.48e+08,8.66561319640951,4.53259949302826,1.91184180506978,"Aa"
4,"1","d","o","a",1,26666.66667,2666666.667,1.68e+08,2.64e+08,8.74830491225462,4.59511985000959,1.90382518798424,"Aa"
5,"1","e","o","a",1,26666.66667,2666666.667,121333333.333333,1.84e+08,8.42288251182,4.23410650447226,1.9892939638914,"Aa"
6,"1","f","o","a",1,26666.66667,2666666.667,1.84e+08,270666666.666667,8.83927669046035,4.62005879835684,1.91323900327937,"Aa"
7,"2","a","o","p",1,26666.66667,2666666.667,73333333.3333333,241333333.333333,7.91935619053562,4.50534985058088,1.7577671997025,"Pc"
8,"2","b","o","p",1,26666.66667,2666666.667,6.8e+07,242666666.666667,7.84384863802747,4.51085950639185,1.73888116597575,"Pc"
9,"2","c","o","p",1,26666.66667,2666666.667,54666666.6666667,165333333.333333,7.62559507200745,4.12713438492009,1.84767307308194,"Pc"
10,"2","d","o","p",1,26666.66667,2666666.667,73333333.3333333,1.92e+08,7.91935619053562,4.27666611889105,1.85175928407269,"Pc"
11,"2","e","o","p",1,26666.66667,2666666.667,73333333.3333333,154666666.666667,7.91935619053562,4.06044301042142,1.95036752645217,"Pc"
12,"2","f","o","p",1,26666.66667,2666666.667,65333333.3333333,142666666.666667,7.80384330341377,3.97968165377696,1.96092149632307,"Pc"
13,"3","a","o","v",1,26666.66667,2666666.667,233333333.333333,1.44e+08,9.07680897922666,3.98898404643927,2.2754688596283,"Vg"
14,"3","b","o","v",1,26666.66667,2666666.667,217333333.333333,7.2e+07,9.00577320610991,3.29583686587933,2.73246934620569,"Vg"
15,"3","c","o","v",1,26666.66667,2666666.667,242666666.666667,77333333.3333333,9.11602969237994,3.36729582986147,2.70722566503905,"Vg"
16,"3","d","o","v",1,26666.66667,2666666.667,226666666.666667,54666666.6666667,9.04782144235341,3.02042488601936,2.99554591946088,"Vg"
17,"3","e","o","v",1,26666.66667,2666666.667,1.4e+08,18666666.6666667,8.56598335546067,1.94591014893031,4.40204464742089,"Vg"
18,"3","f","o","v",1,26666.66667,2666666.667,85333333.3333333,25333333.3333333,8.07090608866282,2.2512917984815,3.58501110078519,"Vg"
19,"4","a","o","s",1,26666.66667,2666666.667,181333333.333333,537333333.333333,8.8246778910392,5.30578938126174,1.66321677264555,"Sr"
20,"4","b","o","s",1,26666.66667,2666666.667,137333333.333333,442666666.666667,8.54675199353278,5.11198778823154,1.67190383615714,"Sr"
21,"4","c","o","s",1,26666.66667,2666666.667,1.96e+08,6.6e+08,8.90245559208188,5.51141058188375,1.61527715270291,"Sr"
22,"4","d","o","s",1,26666.66667,2666666.667,169333333.333333,450666666.666667,8.75621009176174,5.12989871479807,1.70689726612008,"Sr"
23,"4","e","o","s",1,26666.66667,2666666.667,1.92e+08,6.56e+08,8.88183630487915,5.50533153580736,1.61331542834625,"Sr"
24,"4","f","o","s",1,26666.66667,2666666.667,309333333.333333,1.84e+08,9.35876037696946,4.23410650447226,2.21032710610475,"Sr"
25,"5","a","a","p",1,26666.66667,2666666.667,4e+07,78666666.6666667,7.3132203869653,3.38439026322077,2.16086793134951,"Pc"
26,"5","b","a","p",1,26666.66667,2666666.667,45333333.3333333,7.6e+07,7.43838352991931,3.3499040871496,2.22047656780781,"Pc"
27,"5","c","a","p",1,26666.66667,2666666.667,45333333.3333333,9.2e+07,7.43838352991931,3.54095932391231,2.10066901353186,"Pc"
28,"5","d","a","p",1,26666.66667,2666666.667,4.8e+07,110666666.666667,7.49554194375926,3.72569342711165,2.01185150909483,"Pc"
29,"5","e","a","p",1,26666.66667,2666666.667,4.8e+07,133333333.333333,7.49554194375926,3.91202300530315,1.91602706159915,"Pc"
30,"5","f","a","p",1,26666.66667,2666666.667,7.6e+07,49333333.3333333,7.9550742731377,2.91777073195928,2.72642198580005,"Pc"
31,"6","a","a","v",1,26666.66667,2666666.667,153333333.333333,37333333.3333333,8.6569551336664,2.63905732949026,3.2803209831514,"Vg"
32,"6","b","a","v",1,26666.66667,2666666.667,1.4e+08,41333333.3333333,8.56598335546067,2.7408400238002,3.12531314526845,"Vg"
33,"6","c","a","v",1,26666.66667,2666666.667,2.24e+08,25333333.3333333,9.0359869847064,2.2512917984815,4.01368982501567,"Vg"
34,"6","d","a","v",1,26666.66667,2666666.667,125333333.333333,30666666.6666667,8.45531778757315,2.4423470352442,3.46196411302693,"Vg"
35,"6","e","a","v",1,26666.66667,2666666.667,214666666.666667,29333333.3333333,8.99342737028761,2.39789527267337,3.75055052352683,"Vg"
36,"6","f","a","v",1,26666.66667,2666666.667,1.44e+08,1.6e+07,8.59415423242737,1.79175946910306,4.79648880367271,"Vg"
37,"7","a","a","s",1,26666.66667,2666666.667,1.2e+08,5.48e+08,8.41183267563341,5.32544603381129,1.57955458044765,"Sr"
38,"7","b","a","s",1,26666.66667,2666666.667,1.28e+08,698666666.666667,8.47637119677098,5.5683445036361,1.52224259674235,"Sr"
39,"7","c","a","s",1,26666.66667,2666666.667,122666666.666667,698666666.666667,8.43381158235219,5.5683445036361,1.5145994607275,"Sr"
40,"7","d","a","s",1,26666.66667,2666666.667,130666666.666667,597333333.333333,8.49699048397372,5.41164605173004,1.57013049315325,"Sr"
41,"7","e","a","s",1,26666.66667,2666666.667,261333333.333333,7.92e+08,9.19013766453366,5.6937321386777,1.61407973552264,"Sr"
42,"7","f","a","s",1,26666.66667,2666666.667,298666666.666667,941333333.333333,9.32366905715819,5.8664680568083,1.58931557572152,"Sr"
43,"8","a","p","v",1,26666.66667,2666666.667,7.6e+07,165333333.333333,7.9550742731377,4.12713438492009,1.92750551137959,"Vg"
44,"8","b","p","v",1,26666.66667,2666666.667,78666666.6666667,1.6e+08,7.98956044920887,4.0943445620971,1.95136494450693,"Vg"
45,"8","c","p","v",1,26666.66667,2666666.667,38666666.6666667,1.28e+08,7.27931883528962,3.87120101078289,1.88037738547126,"Vg"
46,"8","d","p","v",1,26666.66667,2666666.667,46666666.6666667,1.4e+08,7.46737106679256,3.96081316947258,1.88531262326289,"Vg"
47,"8","e","p","v",1,26666.66667,2666666.667,9.2e+07,1.6e+08,8.1461295099004,4.0943445620971,1.98960526803538,"Vg"
48,"8","f","p","v",1,26666.66667,2666666.667,7.2e+07,129333333.333333,7.90100705186742,3.88156379781844,2.03552162566748,"Vg"
49,"9","a","p","s",1,26666.66667,2666666.667,126666666.666667,462666666.666667,8.46589989690369,5.15617759926191,1.64189454958176,"Sr"
50,"9","b","p","s",1,26666.66667,2666666.667,1.4e+08,4.24e+08,8.56598335546067,5.06890420209523,1.68990831429008,"Sr"
51,"9","c","p","s",1,26666.66667,2666666.667,149333333.333333,418666666.666667,8.63052187659824,5.05624580522331,1.70690314693217,"Sr"
52,"9","d","p","s",1,26666.66667,2666666.667,98666666.6666667,433333333.333333,8.21608809850732,5.09067800164479,1.61394770909743,"Sr"
53,"9","e","p","s",1,26666.66667,2666666.667,4.8e+07,417333333.333333,7.49554194375926,5.05305600985521,1.48336807055777,"Sr"
54,"9","f","p","s",1,26666.66667,2666666.667,1.12e+08,5.4e+08,8.34283980414646,5.31073988642159,1.57093738020898,"Sr"
55,"10","a","v","s",1,26666.66667,2666666.667,41333333.3333333,3.6e+08,7.34601020978829,4.90527477831343,1.4975736409845,"Sr"
56,"10","b","v","s",1,26666.66667,2666666.667,30666666.6666667,397333333.333333,7.0475172212323,5.00394630582046,1.40839185525129,"Sr"
57,"10","c","v","s",1,26666.66667,2666666.667,26666666.6666667,489333333.333333,6.90775527885714,5.21221466736962,1.32530137757031,"Sr"
58,"10","d","v","s",1,26666.66667,2666666.667,25333333.3333333,381333333.333333,6.85646198446959,4.96284463013491,1.38155886300297,"Sr"
59,"10","e","v","s",1,26666.66667,2666666.667,3.2e+07,5.56e+08,7.09007683565109,5.33993904111386,1.32774490140475,"Sr"
60,"10","f","v","s",1,26666.66667,2666666.667,33333333.3333333,533333333.333333,7.13089883017135,5.29831736642304,1.3458798967691,"Sr"
61,"11","a","a","o",1,26666.66667,2666666.667,73333333.3333333,134666666.666667,7.91935619053562,3.92197333615631,2.01922744286092,"Od"
62,"11","b","a","o",1,26666.66667,2666666.667,57333333.3333333,1.36e+08,7.67322312099671,3.93182563259933,1.95156750019048,"Od"
63,"11","c","a","o",1,26666.66667,2666666.667,1.4e+08,161333333.333333,8.56598335546067,4.1026433649118,2.08791810390393,"Od"
64,"11","d","a","o",1,26666.66667,2666666.667,98666666.6666667,1.88e+08,8.21608809850732,4.25561270969322,1.93064751399795,"Od"
65,"11","e","a","o",1,26666.66667,2666666.667,102666666.666667,1.08e+08,8.25582842715683,3.70130197398749,2.23052009405832,"Od"
66,"11","f","a","o",1,26666.66667,2666666.667,74666666.6666667,1.04e+08,7.9373746960383,3.66356164600465,2.16657325930206,"Od"
67,"12","a","p","o",1,26666.66667,2666666.667,5.6e+07,1.92e+08,7.64969262358651,4.27666611889105,1.78870466174481,"Od"
68,"12","b","p","o",1,26666.66667,2666666.667,97333333.3333333,142666666.666667,8.20248244645154,3.97968165377696,2.06109009716063,"Od"
69,"12","c","p","o",1,26666.66667,2666666.667,1.6e+07,174666666.666667,6.39692965509115,4.18205014251621,1.52961572365135,"Od"
70,"12","d","p","o",1,26666.66667,2666666.667,3.6e+07,2.16e+08,7.20785987130748,4.39444915454744,1.64021919877004,"Od"
71,"12","e","p","o",1,26666.66667,2666666.667,29333333.3333333,1.8e+08,7.00306545866146,4.21212759775348,1.66259575384101,"Od"
72,"12","f","p","o",1,26666.66667,2666666.667,61333333.3333333,241333333.333333,7.74066440179224,4.50534985058088,1.71810506586835,"Od"
73,"13","a","v","o",1,26666.66667,2666666.667,129333333.333333,189333333.333333,8.48673398380653,4.26267987691632,1.99093861816008,"Od"
74,"13","b","v","o",1,26666.66667,2666666.667,1.8e+08,118666666.666667,8.81729778374157,3.79548918904719,2.323099169716,"Od"
